,index,MovieName,Genre,Run_time,Score,Votes,Gross,Url,Actors,Director,Creators,Description,Relase,Keywords,RatingCount,RatingValue
53,3,I Ain't Gettin Killed,Horror,,,,,https://www.imdb.com/title/tt9827962/,,,Gary Holler,,,,0,0.0
54,4,The Haunting of Anaya,Horror,,,,,https://www.imdb.com/title/tt9827776/,"C.J. Stussi, Carl Bailey, Bryan Ensign",GuGu E. Michaels,,"The Haunting of Anaya is a movie starring C.J. Stussi, Carl Bailey, and Bryan Ensign. The Haunting of Anaya is about a woman that wakes up from a six months coma. She slowly starts to see things and quickly realizes that she brought...",,,0,0.0
55,5,The Devil's Den,Horror,,,,,https://www.imdb.com/title/tt9826848/,"Christy Johnson, Gary Lee Vincent, John A. Russo, Kevin Tan",Kent Wagner,,"The Devil's Den is a movie starring Christy Johnson, Gary Lee Vincent, and John A. Russo. The Devil's Den is a story about a group of paranormal hunters that go on a weekend investigation near Gettysburg Pennsylvania. During their...",,,0,0.0
56,6,They're Coming,"Horror, Thriller",,,,,https://www.imdb.com/title/tt9826780/,,Wayne David,Wayne David,,,,0,0.0
57,7,Into the Dust,Horror,,,,,https://www.imdb.com/title/tt9826730/,,,"Josh Amato, Zack Wilcox",,,,0,0.0
58,8,Amongst Evil,Horror,,,,,https://www.imdb.com/title/tt9826576/,,,"Jerry Addis, Jerry Addis, Jason Shirley",,,,0,0.0
59,9,The People Under the Stairs,Horror,,,,,https://www.imdb.com/title/tt9823552/,,Orion James,,The People Under the Stairs is a movie starring Orion James. Crooked landlords in the inner city are harboring secrets in their home. What are those strange noises coming from within the walls?,,city,0,0.0
60,10,Girls Will Be Girls,"Horror, Thriller",,,,,https://www.imdb.com/title/tt9821076/,"Alisa Reyes, Dan Garland, Andrea Gonzalez, Aida Janesky",James Wierzbicki,,"Girls Will Be Girls is a movie starring Alisa Reyes, Dan Garland, and Andrea Gonzalez. 5 Girls takes place in modern day and features 5 women who band together against a common enemy. Their journey is full of twists and turns. Do...",,band,0,0.0
61,11,Untitled Alabama Horror/Thriller,"Biography, Horror, Thriller",,,,,https://www.imdb.com/title/tt9818124/,,Acoryé White,Acoryé White,,,,0,0.0
62,12,Over The River Styx,"Horror, Thriller",,,,,https://www.imdb.com/title/tt9814616/,,Michael Arter,,,,,0,0.0
63,13,The Devil Footprints: It's a Wrap,Horror,,,,,https://www.imdb.com/title/tt9814506/,"Capo Marcia, Stanley Nallem, Ned Campbell, Sucen Amirak Nallem",Sucen Amirak Nallem,Sucen Amirak Nallem,"The Devil Footprints: It's a Wrap is a movie starring Capo Marcia, Stanley Nallem, and Ned Campbell. A group of friends decides to become members of a Satanic Brotherhood called ""Underground Inferno""with the promise of earning a lot...",,"knife,villain,prince of hell,the devil,witchcraft",0,0.0
64,14,Velvet Calling,"Horror, Musical",,,,,https://www.imdb.com/title/tt9805688/,"Julia Fossi, Alice Blake, Rosa Blake, Stephanie Figueira",Aniez,,,,,0,0.0
65,15,Dad Can I Borrow the Car,Horror,,,,,https://www.imdb.com/title/tt9805082/,,,Jonathan Keys,,,nightmare,0,0.0
66,16,Restricted Access,Horror,,,,,https://www.imdb.com/title/tt9801542/,,,Graeme Carr,,,,0,0.0
67,17,Arrières Mondes,"Drama, Horror",,,,,https://www.imdb.com/title/tt9799938/,"Gabrielle Chabot, Lana Rim, Bernard Zenou, Judith Gaillard",Seth Young-Ruiz,,,,,0,0.0
68,18,Deathguard,Horror,,,,,https://www.imdb.com/title/tt9799080/,"Daisy Jade, Chace Beck, Jerry Pietrala",Eric Paul Chapman,Eric Paul Chapman,"Deathguard is a movie starring Daisy Jade, Chace Beck, and Jerry Pietrala. A mysterious lifeguard battles amphibious zombies, a suicide cult, spring-breaking teens and backstabbing mayor to defend a popular beach on Public Safety...",,"beach,comic book",0,0.0
69,19,Happy Halloween,Horror,,,,,https://www.imdb.com/title/tt9798948/,,Ali Joumaa,,,,"halloween,murder",0,0.0
70,20,Reverb,"Horror, Music",,,,,https://www.imdb.com/title/tt9795066/,,,,,,,0,0.0
71,21,A Small Bout of Aggression,"Drama, Horror",,,,,https://www.imdb.com/title/tt9794228/,,Daniel J. Egbert,,,,,0,0.0
72,22,VHS Violence,Horror,,,,,https://www.imdb.com/title/tt9788898/,"Dustin Ferguson, Julie Anne Prescott, Valerie Mulligan, Lola Paja",,,"VHS Violence is a movie starring Dustin Ferguson, Julie Anne Prescott, and Valerie Mulligan. A young woman discovers a video tape on her doorstep. She decides to watch it and it witness to a series of shocking crimes, but soon she...",,murder,0,0.0
73,23,The baby matter,"Crime, Drama, Horror, Mystery, Thriller",111 min,,,,https://www.imdb.com/title/tt9787448/,,Chihiro Seko,,,,,0,0.0
74,24,Untitled Benji Sandergaard Political Dark Comedy,"Comedy, Horror",,,,,https://www.imdb.com/title/tt9783278/,,,"Benji Sandergaard, Benji Sandergaard, Benji Sandergaard",,,murder,0,0.0
75,25,Maligno,Horror,,,,,https://www.imdb.com/title/tt9783004/,,,,,,police,0,0.0
76,26,Dead until you die die die die,Horror,,,,,https://www.imdb.com/title/tt9777746/,,,,,,,0,0.0
77,27,The Abduction of Brenda Woods,Horror,,,,,https://www.imdb.com/title/tt9776698/,,Tomasz Szafranski,Tomasz Szafranski,,,,0,0.0
78,28,Hostage,"Drama, Horror, Mystery",,,,,https://www.imdb.com/title/tt9776128/,"Donavan Law, Danielle McFadden",Pepper Cross,Pepper Cross,"Hostage is a movie starring Donavan Law and Danielle McFadden. In the discussion of surveillance and privacy rights, a series of people fall victim to a deep state gang.",,fall,0,0.0
79,29,Cevsen: Seytanin çiragi,Horror,100 min,,,,https://www.imdb.com/title/tt9769570/,"Cansu Öztekin, Alp Türker Ilkman, Alper Pala, Dogan Umut",Burak Gürman,Alper Pala,,,,0,0.0
80,30,Trayodasha,Horror,,,,,https://www.imdb.com/title/tt9768242/,"Ramesh Bhat, Chaitra, Deepu",S.S. Umesh,,,,,0,0.0
81,31,Black Mountain,Horror,,,,,https://www.imdb.com/title/tt9768186/,,Ian Smyth,"A.R. Lewis, Ian Smyth",,,expedition,0,0.0
82,32,The Midwife,Horror,80 min,,,,https://www.imdb.com/title/tt9766814/,"Christos Lawton, Tiffany Ceri, Ellie Morris, Lara Goodison",,,"The Midwife is a movie starring Christos Lawton, Tiffany Ceri, and Ellie Morris. A desperate woman tries to make sense of the supernatural occurrences bringing chaos to her young family. Things take a turn when the midwife pays a...",,,0,0.0
83,33,Coming Back for You,Horror,105 min,,,,https://www.imdb.com/title/tt9765772/,"Paul Kandarian, Aurora Grabill, Antonia Carroll, Alexandria Sceppa",Dylan DiAntonio,,"Coming Back for You is a movie starring Paul Kandarian, Aurora Grabill, and Antonia Carroll. Coming Back for You is a psychological horror film about a couple who accidently hit and kill a woman with their car; but decide to hide...",,"lesbian,ghost,psychotronic film,independent film",0,0.0
84,34,The Withering Fields,"Drama, Horror, Thriller",,,,,https://www.imdb.com/title/tt9765352/,,Rigoberto Castañeda,,,,,0,0.0
85,35,Antes Que Amanezca,"Horror, Thriller",,,,,https://www.imdb.com/title/tt9765036/,"Luis Felipe Tovar, Arap Bethke, Edgar Vivar, Pascacio López",Miguel Angel Vega,Miguel Angel Vega,,,,0,0.0
86,36,"He Loves Me, He Loves Me Not",Horror,,,,,https://www.imdb.com/title/tt9764962/,,,Alexander Garcia,,,game,0,0.0
87,37,The Legend of Lake Hollow,Horror,,,,,https://www.imdb.com/title/tt9764958/,"James David West, Meg Barlowe, Austin Copps",Chris Hollo,Jerry Robbins,"The Legend of Lake Hollow is a movie starring James David West, Meg Barlowe, and Austin Copps. A group of friends at a remote lakeside cabin find themselves in a deadly nightmare when trail cameras on the property reveal they are...",,nightmare,0,0.0
88,38,La isla de las Muñecas,Horror,,,,,https://www.imdb.com/title/tt9764804/,"Javier Ponce, Isaura Espinoza, Gerardo Murguía, Elena del Río",Homero McDonald Chávez,Homero McDonald Chávez,,,,0,0.0
89,39,The Menu,"Comedy, Horror",,,,,https://www.imdb.com/title/tt9764362/,,Mark Mylod,"Seth Reiss, Will Tracy",,,restaurant,0,0.0
90,40,Misfit 2,"Horror, Thriller",,,,,https://www.imdb.com/title/tt9758542/,"Lynn Lowry, Eileen Dietz, Julie Anne Prescott, Chalet Lizette Brannan",Todd Braley,Todd Braley,"Misfit 2 is a movie starring Lynn Lowry, Eileen Dietz, and Julie Anne Prescott. Aldon, Stiches and Omatic are back!. But they have competition in the serial killer business. And Aldon is having none of it.",,"misfit,psychotronic film",0,0.0
91,41,Snarl,"Comedy, Drama, Horror",,,,,https://www.imdb.com/title/tt9758520/,"Christian Tribuzio, John-Paul Beaudoin, Carter Delaat, Nicole Eun-Ju Bell",Carter Delaat,,"Snarl is a movie starring Christian Tribuzio, John-Paul Beaudoin, and Carter Delaat. An aspiring filmmaker travels to a remote cabin to interview a man who claims he is a werewolf.",,interview,0,0.0
92,42,Big Shark,Horror,,,,,https://www.imdb.com/title/tt9755806/,"Tommy Wiseau, Greg Sestero, Isaiah LaBorde",Tommy Wiseau,"Isaiah LaBorde, Greg Sestero, Tommy Wiseau","Big Shark is a movie starring Tommy Wiseau, Greg Sestero, and Isaiah LaBorde. Three firefighters must save New Orleans from a shark attack.",,shark,0,0.0
93,43,The Last Thing Mary Saw,"Drama, Horror, Thriller",,,,,https://www.imdb.com/title/tt9741180/,"Rory Culkin, Isabelle Fuhrman, Stefanie Scott, Carolyn McCormick",Edoardo Vitaletti,Edoardo Vitaletti,"The Last Thing Mary Saw is a movie starring Rory Culkin, Isabelle Fuhrman, and Stefanie Scott. In the Winter of 1843, a family gathers in their old, isolated farm house to mourn the loss of their matriarch. As the mourning proceeds,...",,death,0,0.0
94,44,Trespass,"Horror, Thriller",,,,,https://www.imdb.com/title/tt9741164/,,,Chris Billett,,,,0,0.0
95,45,Lunatic A Familys Curce,Horror,,,,,https://www.imdb.com/title/tt9731810/,,,Stephen Batchelor,,,,0,0.0
96,46,Wired Shut,"Horror, Thriller",,,,,https://www.imdb.com/title/tt9728962/,"Natalie Sharp, Blake Stadel, Behtash Fazlali",Alexander Sharp,"Peter Malone Elliott, Peter Malone Elliott, Alexander Sharp","Wired Shut is a movie starring Natalie Sharp, Blake Stadel, and Behtash Fazlali. A disillusioned famous novelist, unable to talk while recovering in his remote mountain home from major reconstructive jaw surgery, is exposed to a...",,secret,0,0.0
97,47,Etowah Ridge,Horror,,,,,https://www.imdb.com/title/tt9728508/,"Lindsey McKeon, Toni Hudson, Francine Locke, Elijah Marcano",Jeff Burr,Ethan Thompson,"Etowah Ridge is a movie starring Lindsey McKeon, Toni Hudson, and Francine Locke. Social media stars, Jason Poole and Ryan Bennett, take a getaway vacation with girlfriends to the mountains. Things go awry as mayhem ensues when...",,wendigo,0,0.0
98,48,Karli,Horror,,,,,https://www.imdb.com/title/tt9728306/,"Damien Ashley, Jennifer K Preston, Isabella Percival, Jake Francis",,"Mike Clarke, Mike Clarke, Paul Gerrard","Karli is a movie starring Damien Ashley, Jennifer K Preston, and Isabella Percival. Following the death of her husband, the grieving proprietor of a small hotel finds her life turned further upside down after the arrival of a...",,death,0,0.0
99,49,The Birthday Present,Horror,,,,,https://www.imdb.com/title/tt9725240/,,Peter Mackenzie,Peter Mackenzie,,,star,0,0.0
